<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	23:00:00	2625.179	2625.839	2624.374	2624.789	660	0	160
2025.01.01	23:15:00	2624.790	2625.054	2623.565	2623.747	860	0	160
2025.01.01	23:30:00	2623.751	2623.946	2621.833	2621.833	781	0	160
2025.01.01	23:45:00	2621.867	2624.387	2621.668	2623.766	802	0	159
2025.01.02	00:00:00	2623.798	2626.194	2622.751	2625.683	1011	0	160
2025.01.02	00:15:00	2625.689	2626.471	2625.172	2626.317	861	0	160
2025.01.02	00:30:00	2626.336	2627.579	2625.406	2626.799	909	0	159
2025.01.02	00:45:00	2626.804	2627.937	2625.335	2625.373	1191	0	160
2025.01.02	01:00:00	2625.414	2630.942	2623.813	2629.634	3708	0	159
2025.01.02	01:15:00	2629.545	2632.984	2629.311	2632.540	2615	0	159
2025.01.02	01:30:00	2632.507	2634.386	2632.295	2633.404	2578	0	159
2025.01.02	01:45:00	2633.371	2633.571	2631.586	2632.935	2286	0	159
2025.01.02	02:00:00	2632.946	2634.806	2632.531	2634.530	1777	0	159
2025.01.02	02:15:00	2634.532	2636.540	2633.875	2635.581	1337	0	159
2025.01.02	02:30:00	2635.585	2635.811	2632.665	2633.479	1928	0	159
2025.01.02	02:45:00	2633.431	2635.349	2632.294	2634.701	1377	0	159
2025.01.02	03:00:00	2634.666	2635.361	2633.084	2633.102	1262	0	160
2025.01.02	03:15:00	2633.119	2634.713	2632.930	2633.384	1245	0	159
2025.01.02	03:30:00	2633.349	2634.198	2632.204	2633.383	991	0	160
2025.01.02	03:45:00	2633.382	2633.857	2632.682	2633.644	791	0	159
2025.01.02	04:00:00	2633.633	2633.698	2632.101	2632.283	847	0	160
2025.01.02	04:15:00	2632.259	2633.160	2632.092	2632.503	841	0	160
2025.01.02	04:30:00	2632.436	2632.845	2632.017	2632.176	805	0	160
2025.01.02	04:45:00	2632.189	2634.213	2631.050	2633.925	1127	0	159
2025.01.02	05:00:00	2633.924	2634.403	2633.094	2633.423	872	0	160
2025.01.02	05:15:00	2633.387	2635.316	2633.304	2634.866	904	0	160
2025.01.02	05:30:00	2634.782	2636.492	2634.484	2634.916	1412	0	160
2025.01.02	05:45:00	2634.898	2635.373	2633.938	2634.036	1253	0	160
2025.01.02	06:00:00	2633.937	2633.937	2631.447	2631.781	1462	0	160
2025.01.02	06:15:00	2631.726	2634.445	2631.226	2634.157	1130	0	160
2025.01.02	06:30:00	2634.219	2634.699	2633.316	2634.132	1106	0	160
2025.01.02	06:45:00	2634.115	2635.458	2633.568	2634.079	1185	0	159
2025.01.02	07:00:00	2634.126	2635.024	2633.473	2634.371	1201	0	159
2025.01.02	07:15:00	2634.341	2635.935	2633.566	2634.327	1117	0	159
2025.01.02	07:30:00	2634.357	2634.357	2633.001	2633.700	1188	0	159
2025.01.02	07:45:00	2633.640	2635.994	2632.992	2635.915	1121	0	159
2025.01.02	08:00:00	2635.953	2637.121	2633.959	2635.094	1663	0	160
2025.01.02	08:15:00	2635.095	2635.149	2631.333	2633.348	1743	0	160
2025.01.02	08:30:00	2633.302	2636.965	2631.094	2636.202	1642	0	160
